input,clipped_cfa_sites,pixels,frac,clipped_1,clipped_2,clipped_3
raw/raw_3rd_batch/_DSC1255.ARW,1,24337152,4.108944e-08,1,0,0
raw/raw_extremely_bright/_DSC1291.ARW,2,24337152,8.217888e-08,11,3,0
raw/arw/_DSC0914.ARW,1,10507264,9.517225e-08,1,0,0
raw/arw/_DSC1012.ARW,1,10507264,9.517225e-08,7,2,0
raw/arw/_DSC1045.ARW,1,10507264,9.517225e-08,4,2,0
raw/arw/_DSC1062.ARW,1,10507264,9.517225e-08,0,0,0
raw/raw_3rd_batch/20260729_114901.dng,2,12484800,1.601948e-07,1,0,0
raw/arw/_DSC0942.ARW,2,10507264,1.903445e-07,4,0,0
raw/arw/_DSC1125.ARW,2,10507264,1.903445e-07,4,0,0
raw/arw/_DSC0979.ARW,3,10507264,2.855168e-07,37,2,0
raw/raw_3rd_batch/20260729_121459.dng,4,12484800,3.203896e-07,3,0,0
raw/raw_better/20260728_114300.dng,4,12484800,3.203896e-07,2,0,0
raw/arw/_DSC0902.ARW,4,10507264,3.806890e-07,6,0,0
raw/arw/_DSC0988.ARW,4,10507264,3.806890e-07,6,0,0
raw/raw_3rd_batch/_DSC1263.ARW,10,24337152,4.108944e-07,6,1,0
raw/arw/_DSC1069.ARW,5,10507264,4.758613e-07,7,0,0
raw/arw/_DSC1073.ARW,5,10507264,4.758613e-07,6,1,0
raw/arw/_DSC1099.ARW,5,10507264,4.758613e-07,23,17,0
raw/raw_3rd_batch/20260729_120741.dng,7,12484800,5.606818e-07,6,0,0
raw/arw/_DSC0883.ARW,6,10507264,5.710335e-07,6,1,0
raw/arw/_DSC0966.ARW,6,10507264,5.710335e-07,4,0,0
raw/raw_better/20260728_114302.dng,8,12484800,6.407792e-07,4,1,0
raw/arw/_DSC0937.ARW,7,10507264,6.662058e-07,23,11,0
raw/arw/_DSC0939.ARW,7,10507264,6.662058e-07,5,2,0
raw/arw/_DSC1000.ARW,7,10507264,6.662058e-07,8,0,0
raw/arw/_DSC1003.ARW,8,10507264,7.613780e-07,7,3,0
raw/arw/_DSC1050.ARW,8,10507264,7.613780e-07,12,0,0
raw/raw_3rd_batch/20260729_121501.dng,10,12484800,8.009740e-07,6,0,1
raw/arw/_DSC0941.ARW,9,10507264,8.565503e-07,10,0,0
raw/raw_3rd_batch/20260729_144425.dng,11,12484800,8.810714e-07,11,0,0
raw/raw_3rd_batch/_DSC1272.ARW,23,24337152,9.450572e-07,33,3,0
raw/arw/_DSC0978.ARW,10,10507264,9.517225e-07,84,20,0
raw/arw/_DSC0885.ARW,11,10507264,1.046895e-06,10,1,0
raw/arw/_DSC1092.ARW,12,10507264,1.142067e-06,29,4,1
raw/arw/_DSC1044.ARW,13,10507264,1.237239e-06,16,1,4
raw/arw/_DSC0911.ARW,15,10507264,1.427584e-06,23,0,0
raw/raw_3rd_batch/20260729_120739.dng,19,12484800,1.521851e-06,7,5,0
raw/arw/_DSC0998.ARW,17,10507264,1.617928e-06,27,12,3
raw/arw/_DSC1130.ARW,40,24337152,1.643578e-06,40,12,5
raw/raw_3rd_batch/_DSC1270.ARW,41,24337152,1.684667e-06,216,51,0
raw/raw_3rd_batch/20260729_115936.dng,22,12484800,1.762143e-06,10,4,2
raw/arw/_DSC0927.ARW,20,10507264,1.903445e-06,26,2,0
raw/arw/_DSC0993.ARW,20,10507264,1.903445e-06,15,6,0
raw/arw/_DSC0928.ARW,22,10507264,2.093790e-06,32,1,0
raw/arw/_DSC1002.ARW,23,10507264,2.188962e-06,24,6,0
raw/arw/_DSC0936.ARW,24,10507264,2.284134e-06,17,9,2
raw/arw/_DSC0956.ARW,29,10507264,2.759995e-06,160,14,5
raw/arw/_DSC0918.ARW,33,10507264,3.140684e-06,27,11,0
raw/arw/_DSC0969.ARW,33,10507264,3.140684e-06,0,0,0
raw/arw/_DSC0992.ARW,33,10507264,3.140684e-06,27,11,2
raw/arw/_DSC0999.ARW,33,10507264,3.140684e-06,28,6,0
raw/arw/_DSC1001.ARW,33,10507264,3.140684e-06,28,0,0
raw/arw/_DSC1118.ARW,39,10507264,3.711718e-06,18,20,4
raw/raw_3rd_batch/20260729_141225.dng,58,12484800,4.645649e-06,50,21,1
raw/arw/_DSC1119.ARW,49,10507264,4.663440e-06,21,21,9
raw/raw_3rd_batch/_DSC1262.ARW,114,24337152,4.684196e-06,110,17,2
raw/raw_3rd_batch/_DSC1256.ARW,122,24337152,5.012912e-06,91,50,13
raw/arw/_DSC1056.ARW,54,10507264,5.139302e-06,61,0,0
raw/indoor_tungsten/_DSC1323.ARW,127,24337152,5.218359e-06,71,66,24
raw/raw_better/20260728_114327.dng,72,12484800,5.767013e-06,72,0,0
raw/arw/_DSC0917.ARW,64,10507264,6.091024e-06,73,5,0
raw/arw/_DSC1057.ARW,69,10507264,6.566886e-06,97,1,0
raw/arw/_DSC0996.ARW,70,10507264,6.662058e-06,66,21,11
raw/arw/_DSC1059.ARW,71,10507264,6.757230e-06,104,0,0
raw/raw_3rd_batch/_DSC1265.ARW,167,24337152,6.861937e-06,195,8,0
raw/raw_extremely_bright/_DSC1294.ARW,176,24337152,7.231742e-06,232,0,0
raw/raw_3rd_batch/_DSC1281.ARW,178,24337152,7.313921e-06,164,24,0
raw/raw_3rd_batch/_DSC1266.ARW,196,24337152,8.053531e-06,417,163,25
raw/arw/_DSC1067.ARW,86,10507264,8.184814e-06,108,0,0
raw/arw/_DSC0920.ARW,91,10507264,8.660675e-06,106,13,0
raw/raw_at_night/_DSC1313.ARW,224,24337152,9.204035e-06,118,80,33
